field,crop_name_en,variety_name_en,season,yield_bu_ac,yield_target,totalN_per_ac,totalP_per_ac,totalK_per_ac,state,county,acres,lat,long
100060,Corn,Corn DKC63-58,2021,170.4,175.2,132.97,82.36,33.23,Kansas,Ford,103.8,37.832714,-99.429985
100061,Corn,Corn Pioneer 86P20,2021,158.4,155.2,106.37,61.48,29.38,Kansas,Ford,148.5,37.882695,-98.963764
100062,"Wheat, Hard Winter",TAM 114,2021,161.2,157.3,142.11,56.09,21.17,Kansas,Ford,154.3,37.654577,-99.333947
100063,Corn,Corn Pioneer 86P20,2021,174.6,174.6,142.26,69.16,29.61,Kansas,Ford,44.2,37.758752,-99.963892
100064,"Wheat, Hard Winter",WB-Grainfield,2021,158.2,155.6,93.1,48.92,38.73,Kansas,Ford,111.5,38.161474,-98.808069
100065,"Wheat, Hard Winter",TAM 114,2021,139.7,141.8,127.41,32.16,15.99,Kansas,Ford,69.8,38.61297,-99.068218
100066,Corn,Corn Pioneer 86P20,2021,154.3,147.2,107.23,68.76,38.99,Kansas,Ford,113.8,37.30506,-98.823003
100067,"Wheat, Hard Winter",WB-Grainfield,2021,161.2,169.6,166.7,46.01,23.34,Kansas,Ford,46.7,37.229709,-99.004209
100068,Sorghum,Sorghum Hybrid A,2021,160.1,161.7,186.66,55.12,43.51,Kansas,Ford,124.2,37.327287,-98.71338
100069,Sorghum,Sorghum Hybrid B,2021,143.7,143.2,138.15,33.93,20.83,Kansas,Ford,177.6,38.384317,-98.721931
100070,Corn,Corn Pioneer 86P20,2021,163.3,166.5,123.2,6.22,38.53,Kansas,Ford,178.5,37.048408,-100.51761
100071,Sorghum,Sorghum Hybrid A,2021,136.1,140.1,72.49,51.57,33.4,Kansas,Ford,20.7,38.085676,-99.901131
100072,"Wheat, Hard Winter",TAM 114,2021,132.4,131.6,144.84,23.22,18.73,Kansas,Ford,260.2,37.784669,-99.475204
100073,Corn,Corn Pioneer 86P20,2021,148.6,145.5,149.45,56.85,35.88,Kansas,Ford,38.6,36.986272,-99.384908
100074,"Wheat, Hard Winter",WB-Grainfield,2021,138.2,137.5,77.49,44.94,39.49,Kansas,Ford,265.1,37.362411,-100.349191
100075,Sorghum,Sorghum Hybrid A,2021,138.0,141.4,160.28,27.04,88.53,Kansas,Ford,270.1,37.262071,-100.81149
100076,Sorghum,Sorghum Hybrid B,2021,134.2,140.0,96.03,49.59,50.98,Kansas,Ford,154.9,38.591205,-99.865977
100077,Corn,Corn DKC63-58,2021,170.1,173.4,151.1,50.79,22.08,Kansas,Ford,103.5,37.510859,-99.226901
100078,Sorghum,Sorghum Hybrid B,2021,121.4,127.4,129.66,52.94,39.96,Kansas,Ford,42.9,36.752187,-98.987392
100079,Corn,Corn DKC63-58,2021,141.7,134.6,67.6,42.42,20.88,Kansas,Ford,34.1,37.257407,-100.611771
100080,Corn,Corn DKC63-58,2021,140.6,144.7,119.16,45.37,18.83,Kansas,Ford,249.0,37.340425,-100.869916
100081,Corn,Corn Pioneer 86P20,2021,155.7,150.3,142.0,38.41,55.11,Kansas,Ford,78.4,38.522041,-100.257905
100082,"Wheat, Hard Winter",WB-Grainfield,2021,138.8,134.0,79.43,46.99,28.46,Kansas,Ford,128.0,37.888817,-99.258156
100083,Sorghum,Sorghum Hybrid A,2021,141.1,147.0,141.59,28.95,51.27,Kansas,Ford,91.8,37.287394,-100.243177
100084,"Wheat, Hard Winter",WB-Grainfield,2021,153.8,152.2,81.1,51.07,24.24,Kansas,Ford,245.0,38.522419,-98.986876
100085,"Wheat, Hard Winter",TAM 114,2021,157.3,161.3,138.02,72.51,58.27,Kansas,Ford,168.7,38.291677,-100.050627
100086,"Wheat, Hard Winter",TAM 114,2021,151.8,158.7,181.73,49.36,12.15,Kansas,Ford,148.8,37.586582,-99.742908
100087,Corn,Corn Pioneer 86P20,2021,153.6,162.1,74.59,57.51,44.91,Kansas,Ford,207.8,37.393266,-99.37605
100088,"Wheat, Hard Winter",TAM 114,2021,170.8,175.0,183.44,19.64,27.09,Kansas,Ford,241.5,38.192863,-98.980757
100089,Sorghum,Sorghum Hybrid A,2021,144.2,152.8,115.16,32.93,36.86,Kansas,Ford,81.0,38.194702,-99.35144
100090,Sorghum,Sorghum Hybrid B,2021,145.8,143.9,126.66,48.69,33.86,Kansas,Ford,63.3,37.568305,-100.362766
100091,Corn,Corn Pioneer 86P20,2021,173.0,180.5,210.07,60.41,28.41,Kansas,Ford,64.2,37.021924,-99.88547
100092,Corn,Corn DKC63-58,2021,169.3,164.0,211.18,46.71,53.14,Kansas,Ford,86.4,37.589287,-100.139756
100093,"Wheat, Hard Winter",WB-Grainfield,2021,136.4,134.9,99.65,50.56,41.26,Kansas,Ford,186.1,37.668095,-100.378147
100094,"Wheat, Hard Winter",WB-Grainfield,2021,157.8,154.5,167.6,44.39,56.32,Kansas,Ford,169.5,37.825265,-99.391241
100095,"Wheat, Hard Winter",TAM 114,2021,138.7,134.6,127.42,14.75,55.84,Kansas,Ford,256.8,38.273671,-100.41819
100096,Sorghum,Sorghum Hybrid B,2021,127.0,134.4,118.01,21.91,46.38,Kansas,Ford,196.2,37.978047,-100.220348
100097,Corn,Corn Pioneer 86P20,2021,174.8,169.8,127.84,38.09,29.5,Kansas,Ford,170.7,37.001104,-99.713303
100098,Corn,Corn DKC63-58,2021,159.1,163.8,126.32,74.83,10.79,Kansas,Ford,235.9,37.393559,-100.646627
100099,Sorghum,Sorghum Hybrid A,2021,136.1,142.5,140.32,68.75,29.56,Kansas,Ford,216.1,37.808894,-100.701334
100100,Corn,Corn Pioneer 86P20,2021,157.2,155.7,160.78,55.75,35.93,Kansas,Ford,88.8,37.963244,-100.082758
100101,"Wheat, Hard Winter",TAM 114,2021,143.1,146.1,51.23,18.85,26.96,Kansas,Ford,142.6,37.957267,-99.878611
100102,"Wheat, Hard Winter",WB-Grainfield,2021,161.4,155.4,140.19,48.26,81.18,Kansas,Ford,188.8,37.19612,-99.717397
100103,Corn,Corn DKC63-58,2021,171.3,175.7,196.01,37.27,17.96,Kansas,Ford,116.5,38.432286,-99.459172
100104,Corn,Corn DKC63-58,2021,166.2,162.2,117.2,69.07,39.1,Kansas,Ford,264.2,37.439103,-98.741959
100105,Corn,Corn DKC63-58,2021,146.4,140.0,110.87,86.47,60.78,Kansas,Ford,35.7,37.153001,-99.493116
100106,Sorghum,Sorghum Hybrid A,2021,141.9,146.9,130.94,53.29,31.15,Kansas,Ford,224.6,37.143599,-100.424907
100107,Sorghum,Sorghum Hybrid B,2021,178.3,187.1,144.57,24.09,29.13,Kansas,Ford,221.3,37.776409,-99.14327
100108,Sorghum,Sorghum Hybrid A,2021,129.3,125.8,80.12,66.93,33.88,Kansas,Ford,54.3,36.990841,-99.973887
100109,Sorghum,Sorghum Hybrid A,2021,154.0,162.1,139.46,26.1,48.83,Kansas,Ford,143.8,36.832394,-99.176901
100110,"Wheat, Hard Winter",WB-Grainfield,2021,155.8,159.5,145.54,43.73,21.94,Kansas,Ford,139.1,37.681511,-98.898658
100111,Sorghum,Sorghum Hybrid A,2021,136.6,140.7,143.94,51.67,22.81,Kansas,Ford,103.7,37.473718,-99.585738
100112,Corn,Corn DKC63-58,2021,149.6,156.5,57.68,57.06,51.36,Kansas,Ford,151.4,37.797537,-98.995917
100113,Corn,Corn DKC63-58,2021,149.6,146.9,57.72,60.46,17.79,Kansas,Ford,250.9,37.343795,-100.339242
100114,Sorghum,Sorghum Hybrid B,2021,156.1,161.9,139.78,38.84,54.85,Kansas,Ford,37.5,37.807104,-99.609777
100115,"Wheat, Hard Winter",WB-Grainfield,2021,126.0,133.6,52.47,62.3,49.69,Kansas,Ford,194.2,36.847748,-100.267215
100116,Corn,Corn DKC63-58,2021,153.4,151.4,103.94,44.57,9.03,Kansas,Ford,46.9,37.806904,-100.647252
100117,Corn,Corn Pioneer 86P20,2021,161.9,164.8,198.63,9.17,44.05,Kansas,Ford,229.9,36.799882,-98.856015
100118,"Wheat, Hard Winter",WB-Grainfield,2021,142.6,137.7,118.88,71.84,47.47,Kansas,Ford,27.5,37.022178,-99.453842
100119,Sorghum,Sorghum Hybrid A,2021,146.3,146.0,149.43,43.76,22.65,Kansas,Ford,212.7,37.049078,-100.214398
100120,Corn,Corn Pioneer 86P20,2021,170.2,169.7,172.16,67.23,41.5,Kansas,Ford,249.7,37.555628,-99.564433
100121,Corn,Corn DKC63-58,2021,157.7,159.8,88.72,43.86,52.17,Kansas,Ford,76.0,37.751175,-100.221477
100122,Sorghum,Sorghum Hybrid B,2021,144.4,149.4,158.65,48.65,58.51,Kansas,Ford,276.0,37.29995,-100.636034
100123,Corn,Corn DKC63-58,2021,144.4,150.1,78.77,62.06,9.5,Kansas,Ford,65.7,36.886943,-99.004118
100124,Sorghum,Sorghum Hybrid B,2021,157.2,161.3,208.81,29.86,19.76,Kansas,Ford,24.9,37.543619,-100.646619
100125,Sorghum,Sorghum Hybrid B,2021,145.9,145.3,177.28,39.26,31.08,Kansas,Ford,64.7,36.95114,-99.941512
100126,Corn,Corn Pioneer 86P20,2021,159.6,160.3,114.85,58.54,31.76,Kansas,Ford,122.9,36.966651,-99.778105
100127,Corn,Corn DKC63-58,2021,173.0,168.4,164.71,18.32,36.68,Kansas,Ford,209.1,37.894558,-99.227526
100128,"Wheat, Hard Winter",TAM 114,2021,133.7,133.3,137.52,26.51,36.66,Kansas,Ford,66.1,38.505893,-99.658118
100129,"Wheat, Hard Winter",WB-Grainfield,2021,150.6,147.7,112.05,38.44,49.76,Kansas,Ford,244.7,37.27188,-100.776421
100130,"Wheat, Hard Winter",TAM 114,2021,142.6,149.3,115.3,46.63,38.75,Kansas,Ford,100.7,38.375057,-99.546982
100131,"Wheat, Hard Winter",WB-Grainfield,2021,123.4,129.2,54.87,35.51,48.14,Kansas,Ford,140.3,37.988491,-100.192641
100132,Corn,Corn Pioneer 86P20,2021,110.8,104.2,51.8,53.93,56.76,Kansas,Ford,269.0,37.977641,-100.813887
100133,"Wheat, Hard Winter",WB-Grainfield,2021,153.0,151.6,68.97,41.69,15.46,Kansas,Ford,277.7,38.221483,-99.406425
100134,Sorghum,Sorghum Hybrid B,2021,175.1,178.3,186.18,58.48,31.22,Kansas,Ford,37.1,38.472051,-98.978785
100135,Corn,Corn Pioneer 86P20,2021,161.2,159.9,156.33,56.52,57.23,Kansas,Ford,171.5,37.880578,-98.836395
100136,Corn,Corn DKC63-58,2021,129.4,138.4,118.86,52.37,26.09,Kansas,Ford,187.3,38.483651,-100.694403
100137,"Wheat, Hard Winter",WB-Grainfield,2021,157.3,162.3,168.43,46.57,48.2,Kansas,Ford,152.2,37.11481,-98.700051
100138,Sorghum,Sorghum Hybrid A,2021,142.1,143.1,142.71,26.5,13.78,Kansas,Ford,96.9,38.007666,-98.971936
100139,"Wheat, Hard Winter",TAM 114,2021,140.1,147.4,146.09,53.33,29.11,Kansas,Ford,175.3,38.120248,-100.803877
100140,Corn,Corn Pioneer 86P20,2021,134.9,131.0,72.25,27.88,38.15,Kansas,Ford,272.1,38.584634,-99.174385
100141,Sorghum,Sorghum Hybrid B,2021,123.0,123.5,86.17,37.62,38.96,Missouri,Boone,196.4,38.745456,-93.043472
100142,Sorghum,Sorghum Hybrid A,2021,184.6,188.7,178.76,50.9,13.46,Missouri,Boone,247.0,38.930228,-93.125709
100143,Sorghum,Sorghum Hybrid A,2021,169.0,164.8,151.04,39.94,4.71,Missouri,Boone,90.9,38.807143,-92.630913
100144,Sorghum,Sorghum Hybrid B,2021,144.4,136.9,97.0,44.85,49.56,Missouri,Boone,33.8,39.718569,-91.553812
100145,"Wheat, Hard Winter",WB-Grainfield,2021,151.7,146.1,154.01,55.01,46.38,Missouri,Boone,225.8,39.290519,-92.413077
100146,Sorghum,Sorghum Hybrid A,2021,149.2,148.4,135.48,53.89,53.85,Missouri,Boone,24.9,39.424728,-92.877192
100147,Sorghum,Sorghum Hybrid A,2021,150.9,151.4,89.63,27.88,60.6,Missouri,Boone,82.0,38.968502,-92.009699
100148,"Wheat, Hard Winter",TAM 114,2021,171.6,166.8,129.35,45.87,25.04,Missouri,Boone,206.8,39.219608,-92.248334
100149,Corn,Corn Pioneer 86P20,2021,147.9,154.7,53.94,37.31,33.17,Missouri,Boone,267.9,38.032715,-92.548861
100150,Corn,Corn DKC63-58,2021,181.1,174.9,119.51,49.68,37.14,Missouri,Boone,214.3,39.055616,-91.735306
100151,Sorghum,Sorghum Hybrid A,2021,129.8,138.5,95.9,64.5,46.29,Missouri,Boone,111.6,38.859209,-92.998988
100152,Sorghum,Sorghum Hybrid A,2021,174.9,182.0,141.59,43.48,43.42,Missouri,Boone,206.2,38.549632,-92.717833
100153,Corn,Corn DKC63-58,2021,183.0,189.7,130.61,34.58,20.81,Missouri,Boone,85.9,38.580657,-93.126155
100154,Corn,Corn DKC63-58,2021,186.2,186.6,125.99,11.09,7.41,Missouri,Boone,251.3,38.895294,-91.366517
100155,"Wheat, Hard Winter",WB-Grainfield,2021,147.3,148.6,127.38,38.58,15.18,Missouri,Boone,228.3,38.560302,-93.223848
100156,"Wheat, Hard Winter",WB-Grainfield,2021,140.9,133.6,92.1,34.87,31.19,Missouri,Boone,99.7,39.603071,-92.62437
100157,Corn,Corn DKC63-58,2021,159.0,159.7,133.99,39.69,29.21,Missouri,Boone,186.3,39.374806,-93.048029
100158,Sorghum,Sorghum Hybrid A,2021,153.6,156.6,108.9,29.54,43.21,Missouri,Boone,240.7,38.638086,-91.311172
100159,Sorghum,Sorghum Hybrid A,2021,149.7,150.7,171.18,40.12,37.5,Missouri,Boone,196.6,38.706265,-91.970966
100160,Sorghum,Sorghum Hybrid A,2021,156.0,161.2,151.25,62.78,42.0,Missouri,Boone,26.7,39.287672,-92.927945
100161,"Wheat, Hard Winter",WB-Grainfield,2021,171.4,166.3,160.08,44.91,39.61,Missouri,Boone,200.4,39.305403,-91.206023
100162,"Wheat, Hard Winter",WB-Grainfield,2021,165.6,160.3,115.7,25.43,33.03,Missouri,Boone,193.6,39.298171,-91.859518
100163,Sorghum,Sorghum Hybrid B,2021,173.9,166.3,151.8,52.4,51.91,Missouri,Boone,152.3,39.002641,-92.588395
100164,"Wheat, Hard Winter",TAM 114,2021,168.9,169.8,163.17,52.1,58.3,Missouri,Boone,179.1,39.411413,-91.588653
100165,Sorghum,Sorghum Hybrid A,2021,136.1,143.0,99.2,31.36,30.53,Missouri,Boone,272.8,39.4325,-91.992453
100166,Sorghum,Sorghum Hybrid A,2021,161.1,155.9,142.87,42.13,41.74,Missouri,Boone,132.5,38.563055,-91.839469
100167,Corn,Corn DKC63-58,2021,166.0,163.1,129.76,67.72,29.13,Missouri,Boone,239.9,38.963608,-92.294339
100168,Sorghum,Sorghum Hybrid A,2021,156.7,149.4,61.19,20.69,19.38,Missouri,Boone,64.5,39.591184,-93.22131
100169,"Wheat, Hard Winter",WB-Grainfield,2021,151.7,154.4,134.97,28.48,25.44,Missouri,Boone,189.3,38.500376,-91.29537
100170,Corn,Corn Pioneer 86P20,2021,165.6,165.1,114.98,32.66,40.41,Missouri,Boone,229.2,38.870077,-92.951149
100171,"Wheat, Hard Winter",TAM 114,2021,133.6,127.8,115.53,19.47,60.43,Missouri,Boone,101.3,38.654026,-92.164367
100172,Corn,Corn Pioneer 86P20,2021,172.0,170.5,126.28,57.01,45.51,Missouri,Boone,141.3,39.119217,-92.853805
100173,Sorghum,Sorghum Hybrid B,2021,182.7,182.6,124.73,34.79,61.07,Missouri,Boone,262.8,39.620244,-92.305785
100174,Sorghum,Sorghum Hybrid B,2021,164.1,164.5,160.64,42.69,33.28,Missouri,Boone,151.4,39.626445,-91.960628
100175,Corn,Corn DKC63-58,2021,163.0,168.0,157.39,31.08,52.69,Missouri,Boone,159.5,38.645281,-92.51872
100176,"Wheat, Hard Winter",TAM 114,2021,161.8,167.8,119.32,60.35,19.16,Missouri,Boone,114.3,39.134159,-92.055705
100177,Sorghum,Sorghum Hybrid A,2021,149.4,144.8,141.4,31.01,57.77,Missouri,Boone,122.4,38.917333,-92.299829
100178,Sorghum,Sorghum Hybrid A,2021,150.7,151.5,104.59,60.72,17.58,Missouri,Boone,55.6,38.573135,-92.05125
100179,Sorghum,Sorghum Hybrid B,2021,170.3,171.3,127.46,31.54,22.43,Missouri,Boone,277.6,39.296606,-92.740461
100180,Sorghum,Sorghum Hybrid B,2021,184.7,191.5,166.07,55.56,25.38,Missouri,Boone,106.1,39.145595,-92.086799
100181,Corn,Corn Pioneer 86P20,2021,150.5,156.8,106.19,40.1,22.59,Missouri,Boone,207.6,38.230774,-91.902401
100182,Sorghum,Sorghum Hybrid A,2021,145.8,146.3,86.3,51.03,27.92,Missouri,Boone,69.6,39.111808,-92.362468
100183,"Wheat, Hard Winter",TAM 114,2021,145.2,143.6,72.66,42.6,51.97,Missouri,Boone,203.5,39.767702,-92.38874
100184,"Wheat, Hard Winter",WB-Grainfield,2021,131.7,128.2,89.35,16.25,25.35,Missouri,Boone,162.0,38.869942,-91.293858
100185,Corn,Corn DKC63-58,2021,184.8,188.8,167.28,42.72,33.68,Missouri,Boone,78.5,38.552377,-92.632633
100186,"Wheat, Hard Winter",WB-Grainfield,2021,140.5,138.4,79.57,36.08,47.12,Missouri,Boone,94.8,39.418822,-93.077753
100187,Sorghum,Sorghum Hybrid B,2021,161.5,157.1,219.83,62.31,23.06,Missouri,Boone,268.4,39.523108,-92.803508
100188,"Wheat, Hard Winter",WB-Grainfield,2021,165.0,166.0,85.29,30.86,36.99,Missouri,Boone,55.7,39.162095,-93.28452
100189,Corn,Corn DKC63-58,2021,184.5,192.3,192.33,61.22,53.69,Missouri,Boone,206.5,38.723124,-91.342929
100190,Corn,Corn DKC63-58,2021,171.9,177.0,131.38,31.84,34.92,Missouri,Boone,189.1,39.189368,-92.889116
100191,"Wheat, Hard Winter",TAM 114,2021,193.3,202.3,172.22,74.49,50.13,Missouri,Boone,257.4,38.70429,-92.310155
100192,"Wheat, Hard Winter",WB-Grainfield,2021,195.0,191.8,188.2,46.21,67.22,Missouri,Boone,248.0,39.829289,-92.204739
100193,Corn,Corn Pioneer 86P20,2021,164.6,164.4,101.14,47.09,42.33,Missouri,Boone,241.3,38.438803,-92.990362
100194,"Wheat, Hard Winter",WB-Grainfield,2021,161.7,168.9,61.04,33.88,48.44,Missouri,Boone,225.6,39.521281,-92.266383
100195,Sorghum,Sorghum Hybrid B,2021,163.3,159.7,139.87,53.08,31.28,Missouri,Boone,194.0,38.39749,-91.741735
100196,Corn,Corn DKC63-58,2021,165.9,169.3,98.57,39.49,29.47,Missouri,Boone,171.4,38.83425,-93.048623
100197,"Wheat, Hard Winter",WB-Grainfield,2021,148.2,156.5,61.17,15.9,29.34,Missouri,Boone,199.5,38.858546,-92.399047
100198,"Wheat, Hard Winter",WB-Grainfield,2021,143.9,139.6,81.64,39.5,15.89,Missouri,Boone,128.1,38.420184,-91.739573
100199,Sorghum,Sorghum Hybrid B,2021,149.8,157.1,65.1,72.26,56.03,Missouri,Boone,157.3,38.334098,-92.219348
100200,Sorghum,Sorghum Hybrid B,2021,124.3,131.6,66.53,53.63,32.65,Missouri,Boone,242.2,38.796417,-93.277601
100201,Sorghum,Sorghum Hybrid B,2021,149.0,147.7,176.87,51.33,43.86,Missouri,Boone,138.8,39.501261,-91.75923
100202,"Wheat, Hard Winter",TAM 114,2021,157.0,150.2,120.86,49.81,68.67,Missouri,Boone,31.8,39.724174,-93.330183
100203,Corn,Corn Pioneer 86P20,2021,161.9,170.8,142.37,5,27.1,Missouri,Boone,219.9,38.676711,-91.486835
